fips,name,category,metro
05109,"Pike County, Arkansas",none,Nonmetro
05111,"Poinsett County, Arkansas",both,Metro
05113,"Polk County, Arkansas",high,Nonmetro
05115,"Pope County, Arkansas",none,Nonmetro
05117,"Prairie County, Arkansas",none,Nonmetro
05119,"Pulaski County, Arkansas",none,Metro
05121,"Randolph County, Arkansas",none,Nonmetro
05123,"St. Francis County, Arkansas",both,Nonmetro
05125,"Saline County, Arkansas",none,Metro
05127,"Scott County, Arkansas",none,Nonmetro
05129,"Searcy County, Arkansas",both,Nonmetro
05131,"Sebastian County, Arkansas",none,Metro
05133,"Sevier County, Arkansas",high,Nonmetro
05135,"Sharp County, Arkansas",high,Nonmetro
05137,"Stone County, Arkansas",none,Nonmetro
05139,"Union County, Arkansas",none,Nonmetro
05141,"Van Buren County, Arkansas",none,Nonmetro
05143,"Washington County, Arkansas",none,Metro
05145,"White County, Arkansas",none,Nonmetro
05147,"Woodruff County, Arkansas",both,Nonmetro
05149,"Yell County, Arkansas",none,Nonmetro
06001,"Alameda County, California",none,Metro
06003,"Alpine County, California",none,Nonmetro
06005,"Amador County, California",none,Nonmetro
06007,"Butte County, California",none,Metro
06009,"Calaveras County, California",none,Nonmetro
06011,"Colusa County, California",none,Nonmetro
06013,"Contra Costa County, California",none,Metro
06015,"Del Norte County, California",none,Nonmetro
06017,"El Dorado County, California",none,Metro
06019,"Fresno County, California",high,Metro
06021,"Glenn County, California",none,Nonmetro
06023,"Humboldt County, California",high,Nonmetro
06025,"Imperial County, California",high,Metro
06027,"Inyo County, California",none,Nonmetro
06029,"Kern County, California",high,Metro
06031,"Kings County, California",none,Metro
06033,"Lake County, California",none,Nonmetro
06035,"Lassen County, California",none,Nonmetro
06037,"Los Angeles County, California",none,Metro
06039,"Madera County, California",none,Metro
06041,"Marin County, California",none,Metro
06043,"Mariposa County, California",none,Nonmetro
06045,"Mendocino County, California",none,Nonmetro
06047,"Merced County, California",high,Metro
06049,"Modoc County, California",none,Nonmetro
06051,"Mono County, California",none,Nonmetro
06053,"Monterey County, California",none,Metro
06055,"Napa County, California",none,Metro
06057,"Nevada County, California",none,Nonmetro
06059,"Orange County, California",none,Metro
06061,"Placer County, California",none,Metro
06063,"Plumas County, California",none,Nonmetro
06065,"Riverside County, California",none,Metro
06067,"Sacramento County, California",none,Metro
06069,"San Benito County, California",none,Metro
06071,"San Bernardino County, California",none,Metro
06073,"San Diego County, California",none,Metro
06075,"San Francisco County, California",none,Metro
06077,"San Joaquin County, California",none,Metro
06079,"San Luis Obispo County, California",none,Metro
06081,"San Mateo County, California",none,Metro
06083,"Santa Barbara County, California",none,Metro
06085,"Santa Clara County, California",none,Metro
06087,"Santa Cruz County, California",none,Metro
06089,"Shasta County, California",none,Metro
06091,"Sierra County, California",none,Nonmetro
06093,"Siskiyou County, California",none,Nonmetro
06095,"Solano County, California",none,Metro
06097,"Sonoma County, California",none,Metro
06099,"Stanislaus County, California",none,Metro
06101,"Sutter County, California",none,Metro
06103,"Tehama County, California",high,Nonmetro
06105,"Trinity County, California",none,Nonmetro
06107,"Tulare County, California",high,Metro
06109,"Tuolumne County, California",none,Nonmetro
06111,"Ventura County, California",none,Metro
