Name,Club
Brendan Rodgers,Leicester City
Adam Sadler,Leicester City
Mike Stowell,Leicester City
Dean Smith,Leicester City
Graeme Souness,Liverpool
Roy Evans,Liverpool
Gérard Houllier,Liverpool
Phil Thompson,Liverpool
Gérard Houllier,Liverpool
Rafael Benítez,Liverpool
Roy Hodgson,Liverpool
Kenny Dalglish,Liverpool
Brendan Rodgers,Liverpool
Jürgen Klopp,Liverpool
Arne Slot,Liverpool
Rob Edwards,Luton Town
Peter Reid,Manchester City
Tony Book,Manchester City
Brian Horton,Manchester City
Alan Ball,Manchester City
Joe Royle,Manchester City
Kevin Keegan,Manchester City
Stuart Pearce,Manchester City
Sven-Göran Eriksson,Manchester City
Mark Hughes,Manchester City
Roberto Mancini,Manchester City
Brian Kidd,Manchester City
Manuel Pellegrini,Manchester City
Pep Guardiola,Manchester City
Alex Ferguson,Manchester United
David Moyes,Manchester United
Ryan Giggs,Manchester United
Louis van Gaal,Manchester United
José Mourinho,Manchester United
Ole Gunnar Solskjær,Manchester United
Michael Carrick,Manchester United
Ralf Rangnick,Manchester United
Erik ten Hag,Manchester United
Ruud van Nistelrooy,Manchester United
Ruben Amorim,Manchester United
Darren Fletcher,Manchester United
Lennie Lawrence,Middlesbrough
Bryan Robson,Middlesbrough
Terry Venables,Middlesbrough
Steve McClaren,Middlesbrough
Gareth Southgate,Middlesbrough
Aitor Karanka,Middlesbrough
Steve Agnew,Middlesbrough
Kevin Keegan,Newcastle United
Terry McDermott,Newcastle United
Kenny Dalglish,Newcastle United
Ruud Gullit,Newcastle United
Steve Clarke,Newcastle United
Bobby Robson,Newcastle United
John Carver,Newcastle United
Graeme Souness,Newcastle United
Glenn Roeder,Newcastle United
Nigel Pearson,Newcastle United
Sam Allardyce,Newcastle United
Nigel Pearson,Newcastle United
Kevin Keegan,Newcastle United
Chris Hughton,Newcastle United
Joe Kinnear,Newcastle United
Alan Shearer,Newcastle United
Chris Hughton,Newcastle United
Alan Pardew,Newcastle United
John Carver,Newcastle United
Steve McClaren,Newcastle United
Rafael Benítez,Newcastle United
Steve Bruce,Newcastle United
Graeme Jones,Newcastle United
Eddie Howe,Newcastle United
Mike Walker,Norwich City
John Deehan,Norwich City
Nigel Worthington,Norwich City
Paul Lambert,Norwich City
Chris Hughton,Norwich City
Neil Adams,Norwich City
Alex Neil,Norwich City
Daniel Farke,Norwich City
Dean Smith,Norwich City
Brian Clough,Nottingham Forest
Frank Clark,Nottingham Forest
Stuart Pearce,Nottingham Forest
Dave Bassett,Nottingham Forest
Micky Adams,Nottingham Forest
Ron Atkinson,Nottingham Forest
Steve Cooper,Nottingham Forest
Steve Cooper,Leicester City
Nuno Espírito Santo,Nottingham Forest
Ange Postecoglou,Nottingham Forest
Sean Dyche,Nottingham Forest
Joe Royle,Oldham Athletic
Harry Redknapp,Portsmouth
Velimir Zajec,Portsmouth
Alain Perrin,Portsmouth
Joe Jordan,Portsmouth
Harry Redknapp,Portsmouth
Joe Jordan,Portsmouth
Tony Adams,Portsmouth
Paul Hart,Portsmouth
Avram Grant,Portsmouth
Gerry Francis,Queens Park Rangers
Ray Wilkins,Queens Park Rangers
Neil Warnock,Queens Park Rangers
Mark Hughes,Queens Park Rangers
Mark Bowen,Queens Park Rangers
Harry Redknapp,Queens Park Rangers
Kevin Bond,Queens Park Rangers
Chris Ramsey,Queens Park Rangers
Steve Coppell,Reading
Brian McDermott,Reading
Nigel Adkins,Reading
Dave Bassett,Sheffield United
Neil Warnock,Sheffield United
Chris Wilder,Sheffield United
Paul Heckingbottom,Sheffield United
Paul Heckingbottom,Sheffield United
Chris Wilder,Sheffield United
Trevor Francis,Sheffield Wednesday
David Pleat,Sheffield Wednesday
Peter Shreeves,Sheffield Wednesday
Ron Atkinson,Sheffield Wednesday
Danny Wilson,Sheffield Wednesday
Peter Shreeves,Sheffield Wednesday
Ian Branfoot,Southampton
Alan Ball,Southampton
Dave Merrington,Southampton
Graeme Souness,Southampton
Dave Jones,Southampton
Glenn Hoddle,Southampton
Stuart Gray,Southampton
Gordon Strachan,Southampton
Steve Wigley,Southampton
Paul Sturrock,Southampton
Steve Wigley,Southampton
Harry Redknapp,Southampton
Nigel Adkins,Southampton
Mauricio Pochettino,Southampton
Ronald Koeman,Southampton
Claude Puel,Southampton
Mauricio Pellegrino,Southampton
Mark Hughes,Southampton
Kelvin Davis,Southampton
Ralph Hasenhüttl,Southampton
Rubén Sellés,Southampton
Nathan Jones,Southampton
Rubén Sellés,Southampton
Russell Martin,Southampton
Ivan Jurić,Southampton
Simon Rusk,Southampton
Tony Pulis,Stoke City
Mark Hughes,Stoke City
Eddie Niedzwiecki,Stoke City
Paul Lambert,Stoke City
Peter Reid,Sunderland
Howard Wilkinson,Sunderland
Mick McCarthy,Sunderland
Kevin Ball,Sunderland
Roy Keane,Sunderland
Ricky Sbragia,Sunderland
Steve Bruce,Sunderland
Martin O'Neill,Sunderland
Paolo Di Canio,Sunderland
Kevin Ball,Sunderland
Gus Poyet,Sunderland
Dick Advocaat,Sunderland
Sam Allardyce,Sunderland
David Moyes,Sunderland
Regis Le Bris,Sunderland
Brendan Rodgers,Swansea City
Michael Laudrup,Swansea City
Garry Monk,Swansea City
Alan Curtis,Swansea City
Francesco Guidolin,Swansea City
Bob Bradley,Swansea City
Alan Curtis,Swansea City
Paul Clement,Swansea City
Leon Britton,Swansea City
Carlos Carvalhal,Swansea City
John Gorman,Swindon Town
Doug Livermore,Tottenham Hotspur
Ossie Ardiles,Tottenham Hotspur
Steve Perryman,Tottenham Hotspur
Gerry Francis,Tottenham Hotspur
Christian Gross,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Chris Hughton,Tottenham Hotspur
George Graham,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Glenn Hoddle,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Jacques Santini,Tottenham Hotspur
Martin Jol,Tottenham Hotspur
Clive Allen,Tottenham Hotspur
Alex Inglethorpe,Tottenham Hotspur
Juande Ramos,Tottenham Hotspur
Clive Allen,Tottenham Hotspur
Harry Redknapp,Tottenham Hotspur
André Villas-Boas,Tottenham Hotspur
Tim Sherwood,Tottenham Hotspur
Mauricio Pochettino,Tottenham Hotspur
José Mourinho,Tottenham Hotspur
Ryan Mason,Tottenham Hotspur
Nuno Espírito Santo,Tottenham Hotspur
Antonio Conte,Tottenham Hotspur
Cristian Stellini,Tottenham Hotspur
Ryan Mason,Tottenham Hotspur
Ange Postecoglou,Tottenham Hotspur
Thomas Frank,Tottenham Hotspur
Graham Taylor,Watford
Aidy Boothroyd,Watford
Quique Sánchez Flores,Watford
Walter Mazzarri,Watford
Marco Silva,Watford
Javi Gracia,Watford
Quique Sánchez Flores,Watford
Hayden Mullins,Watford
Nigel Pearson,Watford
Hayden Mullins,Watford
Xisco Muñoz,Watford
Claudio Ranieri,Watford
Roy Hodgson,Watford
Gary Megson,West Bromwich Albion
Frank Burrows,West Bromwich Albion
Bryan Robson,West Bromwich Albion
Tony Mowbray,West Bromwich Albion
Roberto Di Matteo,West Bromwich Albion
Michael Appleton,West Bromwich Albion
Roy Hodgson,West Bromwich Albion
Steve Clarke,West Bromwich Albion
Keith Downing,West Bromwich Albion
Pepe Mel,West Bromwich Albion
Alan Irvine,West Bromwich Albion
Rob Kelly,West Bromwich Albion
Tony Pulis,West Bromwich Albion
Gary Megson,West Bromwich Albion
Alan Pardew,West Bromwich Albion
Darren Moore,West Bromwich Albion
Slaven Bilić,West Bromwich Albion
Sam Allardyce,West Bromwich Albion
Billy Bonds,West Ham United
Harry Redknapp,West Ham United
Glenn Roeder,West Ham United
Trevor Brooking,West Ham United
Alan Pardew,West Ham United
Alan Curbishley,West Ham United
Kevin Keen,West Ham United
Gianfranco Zola,West Ham United
Avram Grant,West Ham United
Kevin Keen,West Ham United
Sam Allardyce,West Ham United
Slaven Bilić,West Ham United
David Moyes,West Ham United
Manuel Pellegrini,West Ham United
David Moyes,West Ham United
Julen Lopetegui,West Ham United
Graham Potter,West Ham United
Nuno Espírito Santo,West Ham United
Paul Jewell,Wigan Athletic
Chris Hutchings,Wigan Athletic
Frank Barlow,Wigan Athletic
Steve Bruce,Wigan Athletic
Roberto Martínez,Wigan Athletic
Joe Kinnear,Wimbledon
Egil Olsen,Wimbledon
Terry Burton,Wimbledon
