country,year,value,variable
Pakistan,2009,10426.8,Domestic Consumption
Pakistan,2010,9926.68,Domestic Consumption
Pakistan,2011,10026.73,Domestic Consumption
Pakistan,2012,10776.85,Domestic Consumption
Pakistan,2013,10426.8,Domestic Consumption
Pakistan,2014,10626.81,Domestic Consumption
Pakistan,2015,10326.75,Domestic Consumption
Pakistan,2016,10326.75,Domestic Consumption
Pakistan,2017,10826.87,Domestic Consumption
Pakistan,2018,11026.88,Domestic Consumption
Turkey,2000,5167.88,Domestic Consumption
Turkey,2001,6151.08,Domestic Consumption
Turkey,2002,6301.06,Domestic Consumption
Turkey,2003,6001.05,Domestic Consumption
Turkey,2004,7101.2,Domestic Consumption
Turkey,2005,7001.2,Domestic Consumption
Turkey,2006,7301.26,Domestic Consumption
Turkey,2007,6101.05,Domestic Consumption
Turkey,2008,4950.87,Domestic Consumption
Turkey,2009,5900.99,Domestic Consumption
Turkey,2010,5600.98,Domestic Consumption
Turkey,2011,5600.98,Domestic Consumption
Turkey,2012,6051.03,Domestic Consumption
Turkey,2013,6301.06,Domestic Consumption
Turkey,2014,6401.12,Domestic Consumption
Turkey,2015,6701.13,Domestic Consumption
Turkey,2016,6501.12,Domestic Consumption
Turkey,2017,7301.26,Domestic Consumption
Turkey,2018,7501.27,Domestic Consumption
Vietnam,2000,430.07,Domestic Consumption
Vietnam,2001,460.06,Domestic Consumption
Vietnam,2002,450.1,Domestic Consumption
Vietnam,2003,575.09,Domestic Consumption
Vietnam,2004,700.13,Domestic Consumption
Vietnam,2005,750.11,Domestic Consumption
Vietnam,2006,975.16,Domestic Consumption
Vietnam,2007,1200.21,Domestic Consumption
Vietnam,2008,1250.24,Domestic Consumption
Vietnam,2009,1600.28,Domestic Consumption
Vietnam,2010,1625.27,Domestic Consumption
Vietnam,2011,1675.29,Domestic Consumption
Vietnam,2012,2250.39,Domestic Consumption
Vietnam,2013,3200.56,Domestic Consumption
Vietnam,2014,4100.7,Domestic Consumption
Vietnam,2015,4500.77,Domestic Consumption
Vietnam,2016,5400.92,Domestic Consumption
Vietnam,2017,6601.13,Domestic Consumption
Vietnam,2018,7501.27,Domestic Consumption
Australia,2000,3903.68,Exports
Australia,2001,3130.55,Exports
Australia,2002,2655.46,Exports
Australia,2003,2157.36,Exports
Australia,2004,1998.33,Exports
Australia,2005,2884.51,Exports
Australia,2006,2129.39,Exports
Australia,2007,1219.23,Exports
Australia,2008,1201.22,Exports
Australia,2009,2112.34,Exports
Australia,2010,2500.42,Exports
Australia,2011,4640.79,Exports
Australia,2012,6169.04,Exports
Australia,2013,4852.84,Exports
Australia,2014,2404.41,Exports
Australia,2015,2828.46,Exports
Australia,2016,3727.64,Exports
Australia,2017,4000.7,Exports
Australia,2018,4300.71,Exports
Brazil,2000,315.04,Exports
Brazil,2001,674.13,Exports
Brazil,2002,489.1,Exports
Brazil,2003,964.18,Exports
Brazil,2004,1557.28,Exports
Brazil,2005,1972.33,Exports
Brazil,2006,1300.22,Exports
Brazil,2007,2231.37,Exports
Brazil,2008,2739.48,Exports
Brazil,2009,1990.33,Exports
Brazil,2010,2000.35,Exports
Brazil,2011,4792.84,Exports
Brazil,2012,4307.74,Exports
Brazil,2013,2230.4,Exports
Brazil,2014,3910.66,Exports
Brazil,2015,4314.73,Exports
Brazil,2016,2789.46,Exports
Brazil,2017,4175.72,Exports
Brazil,2018,5300.91,Exports
India,2000,94.03,Exports
India,2001,59.99,Exports
India,2002,56.0,Exports
India,2003,700.13,Exports
India,2004,660.12,Exports
India,2005,3675.64,Exports
India,2006,4875.85,Exports
India,2007,7501.27,Exports
India,2008,2360.41,Exports
India,2009,6551.1,Exports
India,2010,5000.85,Exports
India,2011,11081.92,Exports
India,2012,7762.34,Exports
India,2013,9262.61,Exports
India,2014,4199.7,Exports
India,2015,5764.97,Exports
India,2016,4550.8,Exports
India,2017,5200.91,Exports
India,2018,4500.77,Exports
United States,2000,6741.14,Exports
United States,2001,11001.89,Exports
United States,2002,11902.04,Exports
United States,2003,13760.35,Exports
United States,2004,14438.48,Exports
United States,2005,17676.02,Exports
United States,2006,12961.22,Exports
United States,2007,13636.32,Exports
United States,2008,13263.26,Exports
United States,2009,12039.07,Exports
United States,2010,14378.48,Exports
United States,2011,11715.99,Exports
United States,2012,13028.24,Exports
United States,2013,10531.82,Exports
United States,2014,11247.93,Exports
United States,2015,9154.56,Exports
