TypeofBreach,BreachLocation,Covered Entity Type,Location of Breached Information,Type of Breach,TypeofBreach (group),Individuals Affected,Status,State,Name of Covered Entity,Covered Entity Type (copy),Business Associate Present,Breach Submission Date
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,417000,Under Investigation,GA,"AU Medical Center, INC",Healthcare Provider,No,8/16/2018
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,2032,Under Investigation,OH,"Chapman & Chapman, Inc.",Business Associate,Yes,8/17/2018
Improper Disposal,Paper/Films,Healthcare Provider,Paper/Films,Improper Disposal,Other,5000,Under Investigation,IA,Crossroads Behavioral Health,Healthcare Provider,No,8/28/2018
Unauthorized Access,Email,Healthcare Provider,"Electronic Medical Record, Email, Laptop, Network Server",Unauthorized Access/Disclosure,Other,2180,Under Investigation,TX,South Alamo Medical Group P.A,Healthcare Provider,No,8/30/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,15129,Under Investigation,FL,"David G. Simon, DMD, PA, d/b/a Simon Orthodontics",Healthcare Provider,No,8/31/2018
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,516,Under Investigation,NE,Nebraska Department of Health and Human Services,Health Plan,No,9/4/2018
Hacking/IT Incident,EMR,Healthcare Provider,"Desktop Computer, Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,3200,Under Investigation,NV,J.A. Stokes Ltd.,Healthcare Provider,No,9/5/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,565,Under Investigation,NY,"Catholic Charities Neighborhood Services, Inc.",Healthcare Provider,No,9/7/2018
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,855,Under Investigation,TX,"Total Diagnostix II, LLC",Healthcare Provider,No,9/12/2018
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,500,Under Investigation,TX,The University of Texas Health Science Center at Houston,Healthcare Provider,No,9/18/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1839,Under Investigation,CO,"Personal Assistance Services of Colorado, LLC",Healthcare Provider,No,9/20/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,14329,Under Investigation,KS,Ransom Memorial Hospital,Healthcare Provider,No,9/25/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,15974,Under Investigation,CA,National Ambulatory Hernia Institute,Healthcare Provider,No,10/5/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,10862,Under Investigation,TX,Dr. Amy Woodruff,Healthcare Provider,No,10/7/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,3000,Under Investigation,TX,Dr. Robert Carpenter,Healthcare Provider,No,10/7/2018
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,8056,Under Investigation,TX,FirstCare Health Plans,Health Plan,No,10/12/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,1332,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/15/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,550,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/15/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,39605,Under Investigation,IA,"Jones Eye Center, P.C.",Healthcare Provider,No,10/22/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,22416,Under Investigation,IA,"CJ Elmwood Partners, L.P.",Healthcare Provider,No,10/22/2018
Hacking/IT Incident,,Health Plan,Other,Hacking/IT Incident,Hacking/IT Incident,566217,Under Investigation,IN,CNO ACE,Health Plan,No,10/25/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,614,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/28/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1804,Under Investigation,TX,Dallas County Mental Health Mental Retardation Center dba Metrocare Services,Healthcare Provider,No,11/1/2018
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,40000,Under Investigation,TX,"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital",Healthcare Provider,No,11/2/2018
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,1216,Under Investigation,NY,SUNY Upstate Medical University,Healthcare Provider,No,11/9/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7012,Under Investigation,GA,"Georgia Spine & Orthopaedics of Atlanta, LLC",Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,20371,Under Investigation,IL,Center for Vitreo-Retinal Diseases,Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,128400,Under Investigation,NY,"New York Oncology Hematology, P.C.",Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,218055,Under Investigation,NY,Episcopal Health Services,Healthcare Provider,No,11/19/2018
Unauthorized Access,Network Server,Business Associate,"Network Server, Other Portable Electronic Device",Unauthorized Access/Disclosure,Other,435339,Under Investigation,GA,Georgia Department of Human Services,Business Associate,Yes,11/30/2018
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,1912,Under Investigation,OH,Butler County Board of County Commissioners,Health Plan,No,12/4/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,599,Under Investigation,MN,Ramsey County,Healthcare Provider,No,12/11/2018
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,900,Under Investigation,MN,Smile Designs by Sandwick,Healthcare Provider,No,12/13/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,32470,Under Investigation,NY,University of Vermont Health Network - Elizabethtown Community Hospital,Healthcare Provider,No,12/17/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1643,Under Investigation,MO,Barnes-Jewish Hospital,Healthcare Provider,No,12/18/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,177890,Under Investigation,NY,JAND Inc. d/b/a Warby Parker,Healthcare Provider,No,12/20/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2284,Under Investigation,MI,Kent County Community Mental Health Authority,Healthcare Provider,No,12/21/2018
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,850,Under Investigation,WI,WEA Insurance Corporation,Health Plan,No,12/27/2018
Hacking/IT Incident,Network Server,Business Associate,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,48471,Under Investigation,MI,Wolverine Solutions Group,Business Associate,Yes,12/28/2018
Hacking/IT Incident,Email,Business Associate,"Email, Laptop",Hacking/IT Incident,Hacking/IT Incident,4309,Under Investigation,MO,Choice Rehabilitation,Business Associate,Yes,12/29/2018
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,576,Under Investigation,IN,Managed Health Services,Health Plan,No,1/3/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,31300,Under Investigation,IN,Managed Health Services,Health Plan,Yes,1/3/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,8429,Under Investigation,KY,"Family Physicians of Winter Park, Inc.",Healthcare Provider,No,1/8/2019
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Laptop",Theft,Other,7206,Under Investigation,NJ,"Integrity, Inc. d/b/a Integrity House",Healthcare Provider,No,1/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,70799,Under Investigation,KS,Valley Hope Association,Healthcare Provider,No,1/18/2019
Theft,Paper/Films,Healthcare Provider,"Desktop Computer, Other, Paper/Films",Theft,Other,700,Under Investigation,MI,Youssef M Aoun DPM PLLC,Healthcare Provider,No,1/24/2019
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,1808,Under Investigation,IL,HealthFitness,Business Associate,Yes,1/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,12029,Under Investigation,IN,Valley Professionals Community Health Center,Healthcare Provider,No,1/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7038,Under Investigation,NE,Pawnee County Memorial Hospital,Healthcare Provider,No,1/28/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,85874,Under Investigation,OH,"Schroder's I.T., Inc.",Business Associate,Yes,1/29/2019
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,40000,Under Investigation,MN,"Reproductive Medicine and Infertility Associates, P.A.",Healthcare Provider,No,2/1/2019
Hacking/IT Incident,Desktop Computer,Healthcare Provider,Desktop Computer,Hacking/IT Incident,Hacking/IT Incident,10000,Under Investigation,TX,Rainbow Dental Care PLLC,Healthcare Provider,No,2/4/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,42161,Under Investigation,FL,AdventHealth Medical Group,Healthcare Provider,No,2/5/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,2903,Under Investigation,FL,"USR Holdings, LLC",Business Associate,Yes,2/8/2019
Hacking/IT Incident,EMR,Healthcare Provider,"Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,14000,Under Investigation,MD,"Green Ridge Behavioral Health, LLC",Healthcare Provider,No,2/11/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,971,Under Investigation,CO,Rocky Mountain Health Care Services,Healthcare Provider,No,2/11/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,12000,Under Investigation,VA,Portsmouth Community Health Center,Healthcare Provider,No,2/14/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,973024,Under Investigation,WA,UW Medicine,Healthcare Provider,No,2/20/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,72224,Under Investigation,VT,"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center",Healthcare Provider,No,2/20/2019
Theft,,Healthcare Provider,Other,Theft,Other,6000,Under Investigation,MT,Rocky Boy Health Center,Healthcare Provider,No,2/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,326629,Under Investigation,CT,UConn Health,Healthcare Provider,No,2/21/2019
Hacking/IT Incident,Network Server,Health Plan,Network Server,Hacking/IT Incident,Hacking/IT Incident,1447,Under Investigation,KY,Humana Inc,Health Plan,Yes,2/27/2019
Hacking/IT Incident,EMR,Healthcare Provider,Electronic Medical Record,Hacking/IT Incident,Hacking/IT Incident,500,Under Investigation,MD,"Arthritis & Rheumatism Associates, P.C.",Healthcare Provider,No,3/1/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,32178,Under Investigation,SC,St. Francis Physician Services,Healthcare Provider,No,3/4/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,9319,Under Investigation,OH,Direct Scripts,Healthcare Provider,No,3/6/2019
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,1221,Under Investigation,OK,"Oklahoma Heart Hospital, LLC",Healthcare Provider,No,3/7/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,569,Under Investigation,OH,Equitas Health,Healthcare Provider,No,3/9/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,3804,Under Investigation,AR,"Little Rock Cancer Clinic, P.A.",Healthcare Provider,No,3/11/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,54528,Under Investigation,IN,"LCP Transportation, Inc",Business Associate,Yes,3/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,11617,Under Investigation,IA,Southern Hills Eye Care,Healthcare Provider,No,3/15/2019
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,1506,Under Investigation,CA,L.A. Care Health Plan,Health Plan,No,3/15/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,760,Under Investigation,MD,Frederick Memorial Hospitial,Healthcare Provider,No,3/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,278016,Under Investigation,GA,"Navicent Health, Inc.",Healthcare Provider,No,3/22/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,500,Under Investigation,OR,Oregon Department of Human Services,Business Associate,Yes,3/22/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1200,Under Investigation,MN,Human Development Center,Healthcare Provider,No,3/22/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,38260,Under Investigation,OH,Superior Dental Care,Health Plan,No,3/25/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,38260,Under Investigation,OH,Superior Dental Care Alliance,Business Associate,Yes,3/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2952,Under Investigation,OR,Oregon Endodontic Group,Healthcare Provider,No,4/2/2019
Hacking/IT Incident,Network Server,Health Plan,Network Server,Hacking/IT Incident,Hacking/IT Incident,9352,Under Investigation,NC,"Klaussner Furniture Industries, Inc. Employee Benefits Plan (through its sponsor, Klaussner Furniture Industries, Inc.)",Health Plan,No,4/5/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,20485,Under Investigation,OH,"Health Recovery Services, Inc.",Healthcare Provider,No,4/5/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,35000,Under Investigation,FL,"Gulf Coast Pain Consultants, LLC d/b/a Clearway Pain Solutions Institute",Healthcare Provider,No,4/5/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,11658,Under Investigation,MA,Baystate Health,Healthcare Provider,No,4/5/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5290,Under Investigation,TX,Metrocare Services,Healthcare Provider,No,4/5/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1143,Under Investigation,OH,Rehabilitation Hospital of Northwest Ohio,Healthcare Provider,No,4/8/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,11639,Under Investigation,MN,"Riverplace Counseling Center, Inc.",Healthcare Provider,No,4/11/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5573,Under Investigation,TX,"Questcare Medical Services, PLLC",Healthcare Provider,No,4/12/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2290,Under Investigation,OH,Harbor,Healthcare Provider,No,4/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,305737,Under Investigation,,"Metro Santurce, Inc. d/b/a Hospital Pavia Santurce and Metro Hato Rey, Inc. d/b/a Hospital Pavia Hato Rey",Healthcare Provider,No,4/13/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3800,Under Investigation,TN,"National Seating & Mobility, Inc.",Healthcare Provider,No,4/15/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,5092,Under Investigation,IL,Delta Dental of Illinois,Health Plan,No,4/16/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5319,Under Investigation,IL,Center for Sight & Hearing,Healthcare Provider,No,4/18/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1308,Under Investigation,NY,ELENA MARIA BURUIANA PHYSICIAN P.C.,Healthcare Provider,No,4/18/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,24176,Under Investigation,NJ,"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics",Healthcare Provider,No,4/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,970,Under Investigation,NY,"People, Inc.",Healthcare Provider,No,4/19/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,537,Under Investigation,NY,"LISA ROSE DURSO, M.D. PLLC",Healthcare Provider,No,4/22/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,206695,Under Investigation,MA,"Doctors Management Services, Inc.",Business Associate,Yes,4/22/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3568,Under Investigation,IN,Logansport Memorial Hospital,Healthcare Provider,No,4/23/2019
Unauthorized Access,Other Portable E-Device,Health Plan,Other Portable Electronic Device,Unauthorized Access/Disclosure,Other,676,Under Investigation,IL,Health Care Service Corporation,Health Plan,No,4/24/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,25148,Under Investigation,CT,The Southeastern Council on Alcoholism and Drug Dependence,Healthcare Provider,No,5/1/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,7880,Under Investigation,WI,"OS, Inc.",Business Associate,Yes,5/2/2019
Hacking/IT Incident,Email,Healthcare Provider,"Email, Network Server",Hacking/IT Incident,Hacking/IT Incident,10993,Under Investigation,MN,American Baptist Homes of the Midwest,Healthcare Provider,No,5/6/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1100,Under Investigation,MI,Spectrum Health Lakeland,Healthcare Provider,Yes,5/6/2019
Unauthorized Access,Laptop,Healthcare Provider,Laptop,Unauthorized Access/Disclosure,Other,2000,Under Investigation,KY,"Hospice Care Plus, Inc.",Healthcare Provider,No,5/6/2019
Unauthorized Access,Network Server,Healthcare Clearing House,Network Server,Unauthorized Access/Disclosure,Other,1565338,Under Investigation,,"Inmediata Health Group, Corp.",Healthcare Clearing House,No,5/7/2019
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,7605,Under Investigation,NY,"Independent Health Association, Inc.",Health Plan,No,5/8/2019
Unauthorized Access,,Health Plan,Other,Unauthorized Access/Disclosure,Other,20536,Under Investigation,MN,UnitedHealth Group Health Plan Single Affiliated Covered Entity,Health Plan,No,5/8/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,16819,Under Investigation,GA,Cancer Treatment Centers of America® (CTCA) at Southeastern Regional Medical Center,Healthcare Provider,No,5/10/2019
Unauthorized Access,EMR,Healthcare Provider,"Desktop Computer, Electronic Medical Record",Unauthorized Access/Disclosure,Other,1505,Under Investigation,FL,Professional Dental Alliance of Florida PLLC d/b/a All Smiles Dentistry,Healthcare Provider,No,5/13/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,500,Under Investigation,NC,Aging Disability and Transit Services of Rockingham County,Healthcare Provider,No,5/15/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,501,Under Investigation,FL,"Communities Connected for Kids, Inc.",Business Associate,Yes,5/15/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,14794,Under Investigation,MT,Acadia Montana Treatment Center,Healthcare Provider,No,5/17/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,567,Under Investigation,TX,"Special Health Resources for Texas, Inc.",Healthcare Provider,No,5/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,16073,Under Investigation,OR,"Hematology Oncology Associates, PC",Healthcare Provider,No,5/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7515,Under Investigation,CO,Centura Health,Healthcare Provider,No,5/22/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,978,Under Investigation,MI,Mercy Health Saint Mary's,Healthcare Provider,No,5/24/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,2500,Under Investigation,,Farmacia La Amistad Inc.,Healthcare Provider,No,5/24/2019
Unauthorized Access,Email,Healthcare Provider,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server",Unauthorized Access/Disclosure,Other,106000,Under Investigation,IN,"Talley Medical Surgical Eyecare Associates, PC",Healthcare Provider,No,5/24/2019
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,1811,Under Investigation,NY,Healthfirst,Health Plan,No,5/24/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,520,Under Investigation,MO,Maranatha Village Inc.,Healthcare Provider,No,5/24/2019
Unauthorized Access,EMR,Healthcare Provider,"Desktop Computer, Electronic Medical Record",Unauthorized Access/Disclosure,Other,16542,Under Investigation,MD,"Takai, Hoover, and Hsu, P.A.",Healthcare Provider,No,5/29/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1012,Under Investigation,OH,Capital City Paincare,Healthcare Provider,No,5/31/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,87400,Under Investigation,MD,The Union Labor Life Insurance Company,Health Plan,No,5/31/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,2513,Under Investigation,TX,"Cerpassrx, LLC",Health Plan,No,5/31/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7048,Under Investigation,NY,"Broome County, New York",Healthcare Provider,No,5/31/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,372043,Under Investigation,NY,"Health Quest Systems, Inc.",Healthcare Provider,No,5/31/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,90000,Under Investigation,MN,"TenX Systems, LLC d/b/a ResiDex Software",Business Associate,Yes,6/7/2019
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,1282,Under Investigation,AZ,Clear Dermatology and Aesthetics Center,Healthcare Provider,No,6/17/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,141165,Under Investigation,MO,"EyeCare Partners, LLC [on behalf of affiliated covered entities]",Healthcare Provider,No,6/19/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5400,Under Investigation,AR,Community Physicians Group,Healthcare Provider,No,6/20/2019
Hacking/IT Incident,Network Server,Health Plan,Network Server,Hacking/IT Incident,Hacking/IT Incident,2964778,Under Investigation,VA,"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.",Health Plan,No,6/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,758,Under Investigation,VT,Addison County Home Health & Hospice,Healthcare Provider,No,6/25/2019
Theft,EMR,Healthcare Provider,Electronic Medical Record,Theft,Other,1600,Under Investigation,IL,Southwest Gastroenterology,Healthcare Provider,No,6/28/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,11500000,Under Investigation,MN,"Optum360, LLC",Business Associate,Yes,7/1/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,39649,Under Investigation,NY,"Adirondacks ACO, LLC",Business Associate,Yes,7/2/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,608,Under Investigation,TN,Alive Hospice,Healthcare Provider,No,7/3/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,6572,Under Investigation,OH,"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies",Healthcare Provider,No,7/5/2019
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,713,Under Investigation,OR,Multnomah County Department of Human Services,Business Associate,Yes,7/8/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,39675,Under Investigation,NE,Ameritas Life Insurance Corp.,Health Plan,No,7/8/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,3700,Under Investigation,TX,Hunt Regional Medical Center,Healthcare Provider,No,7/12/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,4559,Under Investigation,GA,Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,Healthcare Provider,No,7/12/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3904,Under Investigation,PA,Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center,Healthcare Provider,No,7/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,2085,Under Investigation,MN,CentraCare Health System,Healthcare Provider,Yes,7/12/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,35899,Under Investigation,TX,Wise Health System,Healthcare Provider,No,7/13/2019
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,409789,Under Investigation,TN,Memphis Pathology Laboratory d/b/a American Esoteric Laboratories,Healthcare Provider,No,7/15/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,727,Under Investigation,AL,Brewer Porch Children's Center / The University of Alabama,Healthcare Provider,No,7/16/2019
