Date,Price,Volume,,,,,
22/08/2025,216.09,42827040,,,,,
28/08/2025,221.64,32339307,,,,,
29/08/2025,222.91,39728364,,,,,
02/09/2025,221.35,47523037,,,,,
03/09/2025,240.66,133336125,,,,,
04/09/2025,242.3,51684167,,,,,
05/09/2025,245,46588925,,,,,
08/09/2025,244.04,32474743,,,,,
09/09/2025,249.63,38060959,,,,,
10/09/2025,249.17,35141074,,,,,
11/09/2025,250.37,30599328,,,,,
12/09/2025,250.8,26771610,,,,,
15/09/2025,261.61,58383796,,,,,
16/09/2025,261.16,34109720,,,,,
17/09/2025,259.53,34107992,,,,,
18/09/2025,262.03,31239474,,,,,
19/09/2025,264.72,55571424,,,,,
22/09/2025,262.53,32290538,,,,,
23/09/2025,261.66,26628016,,,,,
24/09/2025,257.14,28201003,,,,,
25/09/2025,255.79,31020383,,,,,
26/09/2025,256.54,18503194,,,,,
29/09/2025,254.05,32505777,,,,,
30/09/2025,253.1,34724346,,,,,
01/10/2025,254.9,31658234,,,,,
02/10/2025,255.69,25483298,,,,,
03/10/2025,255.35,30249559,,,,,
06/10/2025,260.43,28894653,,,,,
07/10/2025,255.76,23181285,,,,,
08/10/2025,254.62,21307104,,,,,
09/10/2025,251.53,27892086,,,,,
10/10/2025,246.57,33180323,,,,,
13/10/2025,254.15,24995028,,,,,
14/10/2025,255.45,22111572,,,,,
15/10/2025,261.03,27007690,,,,,
16/10/2025,261.46,27997159,,,,,
17/10/2025,263.3,29671629,,,,,
20/10/2025,266.55,22350155,,,,,
21/10/2025,260.46,47312098,,,,,
22/10/2025,261.69,35029370,,,,,
23/10/2025,263.08,19901425,,,,,
24/10/2025,269.92,28655126,,,,,
27/10/2025,279.27,35235231,,,,,
28/10/2025,277.47,29738564,,,,,
29/10/2025,284.57,43580277,,,,,
30/10/2025,291.48,144875990,,,,,
