Entity,Code,Year,Share of adults in 2000,Share of adults in 2022,World region according to OWID,Share of adults in 2022 (Original Year)
Malawi,MWI,2021,10.1,9.7,Africa,2022
Malawi,MWI,2022,9.7,9.7,Africa,
Malawi,MWI,2023,,9.7,Africa,2022
Malaysia,MYS,2000,30.8,22,Asia,2022
Malaysia,MYS,2005,28.2,22,Asia,2022
Malaysia,MYS,2007,27.2,22,Asia,2022
Malaysia,MYS,2010,26,22,Asia,2022
Malaysia,MYS,2015,24,22,Asia,2022
Malaysia,MYS,2020,22.6,22,Asia,2022
Malaysia,MYS,2021,22.2,22,Asia,2022
Malaysia,MYS,2022,22,22,Asia,
Malaysia,MYS,2023,,22,Asia,2022
Maldives,MDV,2000,42.4,26.3,Asia,2022
Maldives,MDV,2005,37.6,26.3,Asia,2022
Maldives,MDV,2007,36.1,26.3,Asia,2022
Maldives,MDV,2010,33.7,26.3,Asia,2022
Maldives,MDV,2015,30.3,26.3,Asia,2022
Maldives,MDV,2020,27.5,26.3,Asia,2022
Maldives,MDV,2021,26.9,26.3,Asia,2022
Maldives,MDV,2022,26.3,26.3,Asia,
Maldives,MDV,2023,,26.3,Asia,2022
Mali,MLI,2000,16.7,8,Africa,2022
Mali,MLI,2005,14,8,Africa,2022
Mali,MLI,2007,13.1,8,Africa,2022
Mali,MLI,2010,11.8,8,Africa,2022
Mali,MLI,2015,10,8,Africa,2022
Mali,MLI,2020,8.5,8,Africa,2022
Mali,MLI,2021,8.3,8,Africa,2022
Mali,MLI,2022,8,8,Africa,
Mali,MLI,2023,,8,Africa,2022
Malta,MLT,2000,33,24.7,Europe,2022
Malta,MLT,2005,30.7,24.7,Europe,2022
Malta,MLT,2007,30,24.7,Europe,2022
Malta,MLT,2010,28.8,24.7,Europe,2022
Malta,MLT,2015,26.8,24.7,Europe,2022
Malta,MLT,2020,25.4,24.7,Europe,2022
Malta,MLT,2021,25.1,24.7,Europe,2022
Malta,MLT,2022,24.7,24.7,Europe,
Malta,MLT,2023,,24.7,Europe,2022
Marshall Islands,MHL,2000,27.5,29.8,Oceania,2022
Marshall Islands,MHL,2005,27.8,29.8,Oceania,2022
Marshall Islands,MHL,2007,28.2,29.8,Oceania,2022
Marshall Islands,MHL,2010,28.5,29.8,Oceania,2022
Marshall Islands,MHL,2015,29.1,29.8,Oceania,2022
Marshall Islands,MHL,2020,29.6,29.8,Oceania,2022
Marshall Islands,MHL,2021,29.7,29.8,Oceania,2022
Marshall Islands,MHL,2022,29.8,29.8,Oceania,
Marshall Islands,MHL,2023,,29.8,Oceania,2022
Mauritania,MRT,2000,22,9.5,Africa,2022
Mauritania,MRT,2005,18.1,9.5,Africa,2022
Mauritania,MRT,2007,16.7,9.5,Africa,2022
Mauritania,MRT,2010,14.8,9.5,Africa,2022
Mauritania,MRT,2015,12.3,9.5,Africa,2022
Mauritania,MRT,2020,10.2,9.5,Africa,2022
Mauritania,MRT,2021,9.8,9.5,Africa,2022
Mauritania,MRT,2022,9.5,9.5,Africa,
Mauritania,MRT,2023,,9.5,Africa,2022
Mauritius,MUS,2000,25.4,20.9,Africa,2022
Mauritius,MUS,2005,24.1,20.9,Africa,2022
Mauritius,MUS,2007,23.7,20.9,Africa,2022
Mauritius,MUS,2010,23,20.9,Africa,2022
Mauritius,MUS,2015,22.1,20.9,Africa,2022
Mauritius,MUS,2020,21.3,20.9,Africa,2022
Mauritius,MUS,2021,21.1,20.9,Africa,2022
Mauritius,MUS,2022,20.9,20.9,Africa,
Mauritius,MUS,2023,,20.9,Africa,2022
Mexico,MEX,2000,22.7,14.9,North America,2022
Mexico,MEX,2005,20.6,14.9,North America,2022
Mexico,MEX,2007,19.9,14.9,North America,2022
Mexico,MEX,2010,18.7,14.9,North America,2022
Mexico,MEX,2015,17,14.9,North America,2022
Mexico,MEX,2020,15.5,14.9,North America,2022
Mexico,MEX,2021,15.2,14.9,North America,2022
Mexico,MEX,2022,14.9,14.9,North America,
Mexico,MEX,2023,,14.9,North America,2022
Moldova,MDA,2000,25.2,29.7,Europe,2022
Moldova,MDA,2005,26.1,29.7,Europe,2022
Moldova,MDA,2007,26.5,29.7,Europe,2022
Moldova,MDA,2010,27,29.7,Europe,2022
Moldova,MDA,2015,28.1,29.7,Europe,2022
Moldova,MDA,2020,29.2,29.7,Europe,2022
Moldova,MDA,2021,29.5,29.7,Europe,2022
Moldova,MDA,2022,29.7,29.7,Europe,
Moldova,MDA,2023,,29.7,Europe,2022
Mongolia,MNG,2000,33.2,29.5,Asia,2022
Mongolia,MNG,2005,32.2,29.5,Asia,2022
Mongolia,MNG,2007,31.8,29.5,Asia,2022
Mongolia,MNG,2010,31.3,29.5,Asia,2022
Mongolia,MNG,2015,30.5,29.5,Asia,2022
Mongolia,MNG,2020,30,29.5,Asia,2022
Mongolia,MNG,2021,29.6,29.5,Asia,2022
Mongolia,MNG,2022,29.5,29.5,Asia,
Mongolia,MNG,2023,,29.5,Asia,2022
Montenegro,MNE,2000,38.6,32,Europe,2022
Montenegro,MNE,2005,36.7,32,Europe,2022
Montenegro,MNE,2007,36.1,32,Europe,2022
Montenegro,MNE,2010,35.2,32,Europe,2022
Montenegro,MNE,2015,33.7,32,Europe,2022
Montenegro,MNE,2020,32.4,32,Europe,2022
Montenegro,MNE,2021,32.3,32,Europe,2022
Montenegro,MNE,2022,32,32,Europe,
Montenegro,MNE,2023,,32,Europe,2022
Morocco,MAR,2000,20.4,13,Africa,2022
Morocco,MAR,2005,18.3,13,Africa,2022
Morocco,MAR,2007,17.5,13,Africa,2022
Morocco,MAR,2010,16.5,13,Africa,2022
Morocco,MAR,2015,14.9,13,Africa,2022
Morocco,MAR,2020,13.5,13,Africa,2022
Morocco,MAR,2021,13.3,13,Africa,2022
Morocco,MAR,2022,13,13,Africa,
Morocco,MAR,2023,,13,Africa,2022
Myanmar,MMR,2000,65.4,44.4,Asia,2022
Myanmar,MMR,2005,60.5,44.4,Asia,2022
Myanmar,MMR,2007,58.2,44.4,Asia,2022
Myanmar,MMR,2010,54.8,44.4,Asia,2022
Myanmar,MMR,2015,50.2,44.4,Asia,2022
Myanmar,MMR,2020,45.9,44.4,Asia,2022
Myanmar,MMR,2021,45.1,44.4,Asia,2022
Myanmar,MMR,2022,44.4,44.4,Asia,
Myanmar,MMR,2023,,44.4,Asia,2022
Namibia,NAM,2000,26.5,14.1,Africa,2022
Namibia,NAM,2005,22.6,14.1,Africa,2022
Namibia,NAM,2007,21.2,14.1,Africa,2022
Namibia,NAM,2010,19.4,14.1,Africa,2022
Namibia,NAM,2015,16.9,14.1,Africa,2022
Namibia,NAM,2020,14.9,14.1,Africa,2022
Namibia,NAM,2021,14.5,14.1,Africa,2022
Namibia,NAM,2022,14.1,14.1,Africa,
Namibia,NAM,2023,,14.1,Africa,2022
Nauru,NRU,2000,63.6,48.3,Oceania,2022
Nauru,NRU,2005,59.6,48.3,Oceania,2022
Nauru,NRU,2007,57.8,48.3,Oceania,2022
Nauru,NRU,2010,55.6,48.3,Oceania,2022
Nauru,NRU,2015,52.6,48.3,Oceania,2022
Nauru,NRU,2020,49.4,48.3,Oceania,2022
Nauru,NRU,2021,48.9,48.3,Oceania,2022
Nauru,NRU,2022,48.3,48.3,Oceania,
Nauru,NRU,2023,,48.3,Oceania,2022
Nepal,NPL,2000,64.7,28.3,Asia,2022
Nepal,NPL,2005,54.5,28.3,Asia,2022
Nepal,NPL,2007,49.9,28.3,Asia,2022
Nepal,NPL,2010,44,28.3,Asia,2022
Nepal,NPL,2015,36.3,28.3,Asia,2022
Nepal,NPL,2020,30.3,28.3,Asia,2022
Nepal,NPL,2021,29.4,28.3,Asia,2022
Nepal,NPL,2022,28.3,28.3,Asia,
Nepal,NPL,2023,,28.3,Asia,2022
Netherlands,NLD,2000,34.5,21.3,Europe,2022
Netherlands,NLD,2005,30.7,21.3,Europe,2022
Netherlands,NLD,2007,29.5,21.3,Europe,2022
Netherlands,NLD,2010,27.7,21.3,Europe,2022
Netherlands,NLD,2015,24.7,21.3,Europe,2022
Netherlands,NLD,2020,22.2,21.3,Europe,2022
Netherlands,NLD,2021,21.7,21.3,Europe,2022
Netherlands,NLD,2022,21.3,21.3,Europe,
Netherlands,NLD,2023,,21.3,Europe,2022
New Zealand,NZL,2000,30.4,12.2,Oceania,2022
New Zealand,NZL,2005,24.8,12.2,Oceania,2022
New Zealand,NZL,2007,22.7,12.2,Oceania,2022
New Zealand,NZL,2010,20.1,12.2,Oceania,2022
New Zealand,NZL,2015,16.4,12.2,Oceania,2022
New Zealand,NZL,2020,13.3,12.2,Oceania,2022
New Zealand,NZL,2021,12.8,12.2,Oceania,2022
New Zealand,NZL,2022,12.2,12.2,Oceania,
New Zealand,NZL,2023,,12.2,Oceania,2022
Niger,NER,2000,9.7,7.7,Africa,2022
Niger,NER,2005,9.1,7.7,Africa,2022
Niger,NER,2007,8.9,7.7,Africa,2022
Niger,NER,2010,8.6,7.7,Africa,2022
Niger,NER,2015,8.1,7.7,Africa,2022
Niger,NER,2020,7.8,7.7,Africa,2022
Niger,NER,2021,7.7,7.7,Africa,2022
Niger,NER,2022,7.7,7.7,Africa,
Niger,NER,2023,,7.7,Africa,2022
Nigeria,NGA,2000,10.7,3.3,Africa,2022
Nigeria,NGA,2005,8.1,3.3,Africa,2022
Nigeria,NGA,2007,7.2,3.3,Africa,2022
Nigeria,NGA,2010,6.1,3.3,Africa,2022
Nigeria,NGA,2015,4.7,3.3,Africa,2022
Nigeria,NGA,2020,3.6,3.3,Africa,2022
Nigeria,NGA,2021,3.4,3.3,Africa,2022
Nigeria,NGA,2022,3.3,3.3,Africa,
Nigeria,NGA,2023,,3.3,Africa,2022
North America,OWID_NAM,2000,28.437105,19.844383,,2022
North America,OWID_NAM,2005,26.047499,19.844383,,2022
North America,OWID_NAM,2007,25.25419,19.844383,,2022
North America,OWID_NAM,2010,23.960756,19.844383,,2022
North America,OWID_NAM,2015,22.089859,19.844383,,2022
North America,OWID_NAM,2020,20.494015,19.844383,,2022
North America,OWID_NAM,2021,20.227201,19.844383,,2022
North America,OWID_NAM,2022,19.844383,19.844383,,
North Korea,PRK,2000,29.5,16.5,Asia,2022
North Korea,PRK,2005,25.8,16.5,Asia,2022
North Korea,PRK,2007,24.5,16.5,Asia,2022
North Korea,PRK,2010,22.7,16.5,Asia,2022
North Korea,PRK,2015,19.8,16.5,Asia,2022
North Korea,PRK,2020,17.4,16.5,Asia,2022
North Korea,PRK,2021,17,16.5,Asia,2022
North Korea,PRK,2022,16.5,16.5,Asia,
North Korea,PRK,2023,,16.5,Asia,2022
Norway,NOR,2000,44.9,14.2,Europe,2022
Norway,NOR,2005,34.6,14.2,Europe,2022
Norway,NOR,2007,31.2,14.2,Europe,2022
Norway,NOR,2010,26.6,14.2,Europe,2022
Norway,NOR,2015,20.5,14.2,Europe,2022
Norway,NOR,2020,15.8,14.2,Europe,2022
Norway,NOR,2021,15,14.2,Europe,2022
Norway,NOR,2022,14.2,14.2,Europe,
Norway,NOR,2023,,14.2,Europe,2022
Oceania,OWID_OCE,2000,30.258694,19.054968,,2022
Oceania,OWID_OCE,2005,27.08569,19.054968,,2022
Oceania,OWID_OCE,2007,25.870064,19.054968,,2022
Oceania,OWID_OCE,2010,24.260105,19.054968,,2022
Oceania,OWID_OCE,2015,21.850975,19.054968,,2022
Oceania,OWID_OCE,2020,19.696194,19.054968,,2022
Oceania,OWID_OCE,2021,19.398232,19.054968,,2022
Oceania,OWID_OCE,2022,19.054968,19.054968,,
Oman,OMN,2000,7.5,8.4,Asia,2022
Oman,OMN,2005,7.7,8.4,Asia,2022
Oman,OMN,2007,7.7,8.4,Asia,2022
Oman,OMN,2010,7.9,8.4,Asia,2022
Oman,OMN,2015,8.1,8.4,Asia,2022
Oman,OMN,2020,8.3,8.4,Asia,2022
Oman,OMN,2021,8.4,8.4,Asia,2022
Oman,OMN,2022,8.4,8.4,Asia,
Oman,OMN,2023,,8.4,Asia,2022
Pakistan,PAK,2000,39.3,18.9,Asia,2022
Pakistan,PAK,2005,33.1,18.9,Asia,2022
Pakistan,PAK,2007,31.1,18.9,Asia,2022
Pakistan,PAK,2010,28,18.9,Asia,2022
Pakistan,PAK,2015,23.7,18.9,Asia,2022
Pakistan,PAK,2020,20.2,18.9,Asia,2022
Pakistan,PAK,2021,19.5,18.9,Asia,2022
Pakistan,PAK,2022,18.9,18.9,Asia,
Pakistan,PAK,2023,,18.9,Asia,2022
Palau,PLW,2000,26.2,17.3,Oceania,2022
Palau,PLW,2005,23.6,17.3,Oceania,2022
Palau,PLW,2007,22.7,17.3,Oceania,2022
Palau,PLW,2010,21.5,17.3,Oceania,2022
Palau,PLW,2015,19.6,17.3,Oceania,2022
Palau,PLW,2020,18,17.3,Oceania,2022
Palau,PLW,2021,17.7,17.3,Oceania,2022
Palau,PLW,2022,17.3,17.3,Oceania,
Palau,PLW,2023,,17.3,Oceania,2022
Panama,PAN,2000,14.1,5.2,North America,2022
Panama,PAN,2005,11.1,5.2,North America,2022
Panama,PAN,2007,10.1,5.2,North America,2022
Panama,PAN,2010,8.8,5.2,North America,2022
Panama,PAN,2015,7.1,5.2,North America,2022
Panama,PAN,2020,5.6,5.2,North America,2022
Panama,PAN,2021,5.4,5.2,North America,2022
Panama,PAN,2022,5.2,5.2,North America,
Panama,PAN,2023,,5.2,North America,2022
Papua New Guinea,PNG,2000,53.8,39.6,Oceania,2022
Papua New Guinea,PNG,2005,50.2,39.6,Oceania,2022
Papua New Guinea,PNG,2007,48.7,39.6,Oceania,2022
Papua New Guinea,PNG,2010,46.6,39.6,Oceania,2022
Papua New Guinea,PNG,2015,43.5,39.6,Oceania,2022
Papua New Guinea,PNG,2020,40.7,39.6,Oceania,2022
Papua New Guinea,PNG,2021,40.2,39.6,Oceania,2022
Papua New Guinea,PNG,2022,39.6,39.6,Oceania,
Papua New Guinea,PNG,2023,,39.6,Oceania,2022
Paraguay,PRY,2000,29.4,10.7,South America,2022
Paraguay,PRY,2005,23.2,10.7,South America,2022
Paraguay,PRY,2007,21.1,10.7,South America,2022
Paraguay,PRY,2010,18.4,10.7,South America,2022
Paraguay,PRY,2015,14.6,10.7,South America,2022
Paraguay,PRY,2020,11.7,10.7,South America,2022
Paraguay,PRY,2021,11.2,10.7,South America,2022
Paraguay,PRY,2022,10.7,10.7,South America,
Paraguay,PRY,2023,,10.7,South America,2022
Peru,PER,2000,34.7,7.1,South America,2022
Peru,PER,2005,24,7.1,South America,2022
Peru,PER,2007,20.7,7.1,South America,2022
Peru,PER,2010,16.7,7.1,South America,2022
Peru,PER,2015,11.7,7.1,South America,2022
Peru,PER,2020,8.2,7.1,South America,2022
Peru,PER,2021,7.6,7.1,South America,2022
Peru,PER,2022,7.1,7.1,South America,
Peru,PER,2023,,7.1,South America,2022
Philippines,PHL,2000,36.5,20.4,Asia,2022
Philippines,PHL,2005,31.7,20.4,Asia,2022
Philippines,PHL,2007,30.1,20.4,Asia,2022
Philippines,PHL,2010,27.7,20.4,Asia,2022
Philippines,PHL,2015,24.4,20.4,Asia,2022
Philippines,PHL,2020,21.6,20.4,Asia,2022
Philippines,PHL,2021,20.9,20.4,Asia,2022
Philippines,PHL,2022,20.4,20.4,Asia,
Philippines,PHL,2023,,20.4,Asia,2022
Poland,POL,2000,38.9,23.6,Europe,2022
Poland,POL,2005,34.6,23.6,Europe,2022
Poland,POL,2007,33,23.6,Europe,2022
Poland,POL,2010,30.9,23.6,Europe,2022
Poland,POL,2015,27.6,23.6,Europe,2022
Poland,POL,2020,24.5,23.6,Europe,2022
Poland,POL,2021,24,23.6,Europe,2022
Poland,POL,2022,23.6,23.6,Europe,
Poland,POL,2023,,23.6,Europe,2022
Portugal,PRT,2000,26,25.6,Europe,2022
Portugal,PRT,2005,25.7,25.6,Europe,2022
Portugal,PRT,2007,25.7,25.6,Europe,2022
Portugal,PRT,2010,25.5,25.6,Europe,2022
Portugal,PRT,2015,25.5,25.6,Europe,2022
Portugal,PRT,2020,25.6,25.6,Europe,2022
Portugal,PRT,2021,25.6,25.6,Europe,2022
Portugal,PRT,2022,25.6,25.6,Europe,
Portugal,PRT,2023,,25.6,Europe,2022
Qatar,QAT,2000,12.9,12.5,Asia,2022
Qatar,QAT,2005,12.7,12.5,Asia,2022
Qatar,QAT,2007,12.6,12.5,Asia,2022
Qatar,QAT,2010,12.5,12.5,Asia,2022
Qatar,QAT,2015,12.5,12.5,Asia,2022
Qatar,QAT,2020,12.5,12.5,Asia,2022
Qatar,QAT,2021,12.5,12.5,Asia,2022
Qatar,QAT,2022,12.5,12.5,Asia,
Qatar,QAT,2023,,12.5,Asia,2022
Romania,ROU,2000,36.9,30,Europe,2022
Romania,ROU,2005,35.3,30,Europe,2022
Romania,ROU,2007,34.6,30,Europe,2022
Romania,ROU,2010,33.6,30,Europe,2022
Romania,ROU,2015,32,30,Europe,2022
Romania,ROU,2020,30.7,30,Europe,2022
Romania,ROU,2021,30.3,30,Europe,2022
Romania,ROU,2022,30,30,Europe,
Romania,ROU,2023,,30,Europe,2022
Russia,RUS,2000,32.7,29.2,Europe,2022
Russia,RUS,2005,31.6,29.2,Europe,2022
Russia,RUS,2007,31.4,29.2,Europe,2022
Russia,RUS,2010,30.8,29.2,Europe,2022
Russia,RUS,2015,30,29.2,Europe,2022
Russia,RUS,2020,29.4,29.2,Europe,2022
Russia,RUS,2021,29.3,29.2,Europe,2022
Russia,RUS,2022,29.2,29.2,Europe,
Russia,RUS,2023,,29.2,Europe,2022
Rwanda,RWA,2000,24.4,14.3,Africa,2022
Rwanda,RWA,2005,21.2,14.3,Africa,2022
Rwanda,RWA,2007,20.1,14.3,Africa,2022
Rwanda,RWA,2010,18.6,14.3,Africa,2022
Rwanda,RWA,2015,16.6,14.3,Africa,2022
Rwanda,RWA,2020,14.9,14.3,Africa,2022
Rwanda,RWA,2021,14.6,14.3,Africa,2022
Rwanda,RWA,2022,14.3,14.3,Africa,
Rwanda,RWA,2023,,14.3,Africa,2022
Saint Lucia,LCA,2000,20.2,13.8,North America,2022
Saint Lucia,LCA,2005,18.3,13.8,North America,2022
Saint Lucia,LCA,2007,17.6,13.8,North America,2022
Saint Lucia,LCA,2010,16.8,13.8,North America,2022
Saint Lucia,LCA,2015,15.4,13.8,North America,2022
Saint Lucia,LCA,2020,14.3,13.8,North America,2022
Saint Lucia,LCA,2021,14.1,13.8,North America,2022
Saint Lucia,LCA,2022,13.8,13.8,North America,
Saint Lucia,LCA,2023,,13.8,North America,2022
Samoa,WSM,2000,41.6,22.5,Oceania,2022
Samoa,WSM,2005,36.1,22.5,Oceania,2022
Samoa,WSM,2007,34,22.5,Oceania,2022
Samoa,WSM,2010,31.2,22.5,Oceania,2022
Samoa,WSM,2015,27.1,22.5,Oceania,2022
Samoa,WSM,2020,23.8,22.5,Oceania,2022
Samoa,WSM,2021,23.1,22.5,Oceania,2022
Samoa,WSM,2022,22.5,22.5,Oceania,
Samoa,WSM,2023,,22.5,Oceania,2022
Sao Tome and Principe,STP,2000,7.2,7.8,Africa,2022
Sao Tome and Principe,STP,2005,7.2,7.8,Africa,2022
Sao Tome and Principe,STP,2007,7.2,7.8,Africa,2022
Sao Tome and Principe,STP,2010,7.3,7.8,Africa,2022
Sao Tome and Principe,STP,2015,7.4,7.8,Africa,2022
Sao Tome and Principe,STP,2020,7.7,7.8,Africa,2022
Sao Tome and Principe,STP,2021,7.8,7.8,Africa,2022
Sao Tome and Principe,STP,2022,7.8,7.8,Africa,
Sao Tome and Principe,STP,2023,,7.8,Africa,2022
Saudi Arabia,SAU,2000,14.2,14.9,Asia,2022
Saudi Arabia,SAU,2005,14.3,14.9,Asia,2022
Saudi Arabia,SAU,2007,14.3,14.9,Asia,2022
Saudi Arabia,SAU,2010,14.3,14.9,Asia,2022
Saudi Arabia,SAU,2015,14.4,14.9,Asia,2022
Saudi Arabia,SAU,2020,14.8,14.9,Asia,2022
Saudi Arabia,SAU,2021,14.8,14.9,Asia,2022
Saudi Arabia,SAU,2022,14.9,14.9,Asia,
Saudi Arabia,SAU,2023,,14.9,Asia,2022
Senegal,SEN,2000,14.9,6.5,Africa,2022
Senegal,SEN,2005,12.3,6.5,Africa,2022
Senegal,SEN,2007,11.4,6.5,Africa,2022
Senegal,SEN,2010,10.2,6.5,Africa,2022
Senegal,SEN,2015,8.4,6.5,Africa,2022
Senegal,SEN,2020,7,6.5,Africa,2022
Senegal,SEN,2021,6.7,6.5,Africa,2022
Senegal,SEN,2022,6.5,6.5,Africa,
Senegal,SEN,2023,,6.5,Africa,2022
Serbia,SRB,2000,44.9,39.5,Europe,2022
Serbia,SRB,2005,43.7,39.5,Europe,2022
Serbia,SRB,2007,43.2,39.5,Europe,2022
Serbia,SRB,2010,42.4,39.5,Europe,2022
Serbia,SRB,2015,41.1,39.5,Europe,2022
Serbia,SRB,2020,40.1,39.5,Europe,2022
Serbia,SRB,2021,39.9,39.5,Europe,2022
Serbia,SRB,2022,39.5,39.5,Europe,
Serbia,SRB,2023,,39.5,Europe,2022
Seychelles,SYC,2000,30.9,20.2,Africa,2022
Seychelles,SYC,2005,27.6,20.2,Africa,2022
Seychelles,SYC,2007,26.5,20.2,Africa,2022
Seychelles,SYC,2010,24.9,20.2,Africa,2022
Seychelles,SYC,2015,22.7,20.2,Africa,2022
Seychelles,SYC,2020,20.8,20.2,Africa,2022
Seychelles,SYC,2021,20.6,20.2,Africa,2022
Seychelles,SYC,2022,20.2,20.2,Africa,
Seychelles,SYC,2023,,20.2,Africa,2022
Sierra Leone,SLE,2000,40,12.9,Africa,2022
Sierra Leone,SLE,2005,31,12.9,Africa,2022
Sierra Leone,SLE,2007,28,12.9,Africa,2022
Sierra Leone,SLE,2010,23.9,12.9,Africa,2022
Sierra Leone,SLE,2015,18.4,12.9,Africa,2022
Sierra Leone,SLE,2020,14.3,12.9,Africa,2022
Sierra Leone,SLE,2021,13.5,12.9,Africa,2022
Sierra Leone,SLE,2022,12.9,12.9,Africa,
Sierra Leone,SLE,2023,,12.9,Africa,2022
Singapore,SGP,2000,16.9,16.4,Asia,2022
Singapore,SGP,2005,16.8,16.4,Asia,2022
Singapore,SGP,2007,16.7,16.4,Asia,2022
Singapore,SGP,2010,16.6,16.4,Asia,2022
Singapore,SGP,2015,16.6,16.4,Asia,2022
Singapore,SGP,2020,16.3,16.4,Asia,2022
Singapore,SGP,2021,16.3,16.4,Asia,2022
Singapore,SGP,2022,16.4,16.4,Asia,
Singapore,SGP,2023,,16.4,Asia,2022
Slovakia,SVK,2000,32.2,32.4,Europe,2022
Slovakia,SVK,2005,31.9,32.4,Europe,2022
Slovakia,SVK,2007,32,32.4,Europe,2022
Slovakia,SVK,2010,31.8,32.4,Europe,2022
Slovakia,SVK,2015,31.9,32.4,Europe,2022
Slovakia,SVK,2020,32.3,32.4,Europe,2022
Slovakia,SVK,2021,32.3,32.4,Europe,2022
Slovakia,SVK,2022,32.4,32.4,Europe,
Slovakia,SVK,2023,,32.4,Europe,2022
Slovenia,SVN,2000,25.7,20.1,Europe,2022
Slovenia,SVN,2005,24.3,20.1,Europe,2022
Slovenia,SVN,2007,23.7,20.1,Europe,2022
Slovenia,SVN,2010,23,20.1,Europe,2022
Slovenia,SVN,2015,21.8,20.1,Europe,2022
Slovenia,SVN,2020,20.6,20.1,Europe,2022
Slovenia,SVN,2021,20.4,20.1,Europe,2022
Slovenia,SVN,2022,20.1,20.1,Europe,
Slovenia,SVN,2023,,20.1,Europe,2022
Solomon Islands,SLB,2000,43.5,36.9,Oceania,2022
Solomon Islands,SLB,2005,41.6,36.9,Oceania,2022
Solomon Islands,SLB,2007,40.8,36.9,Oceania,2022
Solomon Islands,SLB,2010,40,36.9,Oceania,2022
Solomon Islands,SLB,2015,38.3,36.9,Oceania,2022
Solomon Islands,SLB,2020,37.3,36.9,Oceania,2022
Solomon Islands,SLB,2021,37.1,36.9,Oceania,2022
Solomon Islands,SLB,2022,36.9,36.9,Oceania,
Solomon Islands,SLB,2023,,36.9,Oceania,2022
South Africa,ZAF,2000,23.7,20.7,Africa,2022
South Africa,ZAF,2005,22.7,20.7,Africa,2022
South Africa,ZAF,2007,22.5,20.7,Africa,2022
South Africa,ZAF,2010,22,20.7,Africa,2022
South Africa,ZAF,2015,21.5,20.7,Africa,2022
South Africa,ZAF,2020,20.9,20.7,Africa,2022
South Africa,ZAF,2021,20.8,20.7,Africa,2022
South Africa,ZAF,2022,20.7,20.7,Africa,
South Africa,ZAF,2023,,20.7,Africa,2022
South America,OWID_SAM,2000,26.27038,13.375547,,2022
South America,OWID_SAM,2005,22.213734,13.375547,,2022
South America,OWID_SAM,2007,20.788603,13.375547,,2022
South America,OWID_SAM,2010,18.973543,13.375547,,2022
South America,OWID_SAM,2015,16.283762,13.375547,,2022
South America,OWID_SAM,2020,14.131064,13.375547,,2022
South America,OWID_SAM,2021,13.722466,13.375547,,2022
South America,OWID_SAM,2022,13.375547,13.375547,,
South Korea,KOR,2000,35.2,20,Asia,2022
South Korea,KOR,2005,30.9,20,Asia,2022
South Korea,KOR,2007,29.4,20,Asia,2022
South Korea,KOR,2010,27,20,Asia,2022
South Korea,KOR,2015,23.8,20,Asia,2022
South Korea,KOR,2020,21,20,Asia,2022
South Korea,KOR,2021,20.5,20,Asia,2022
South Korea,KOR,2022,20,20,Asia,
South Korea,KOR,2023,,20,Asia,2022
Spain,ESP,2000,35,28.4,Europe,2022
Spain,ESP,2005,33.3,28.4,Europe,2022
Spain,ESP,2007,32.8,28.4,Europe,2022
Spain,ESP,2010,31.7,28.4,Europe,2022
Spain,ESP,2015,30.3,28.4,Europe,2022
Spain,ESP,2020,28.9,28.4,Europe,2022
Spain,ESP,2021,28.7,28.4,Europe,2022
Spain,ESP,2022,28.4,28.4,Europe,
Spain,ESP,2023,,28.4,Europe,2022
Sri Lanka,LKA,2000,30.2,19.5,Asia,2022
Sri Lanka,LKA,2005,27,19.5,Asia,2022
Sri Lanka,LKA,2007,25.9,19.5,Asia,2022
Sri Lanka,LKA,2010,24.3,19.5,Asia,2022
Sri Lanka,LKA,2015,22.1,19.5,Asia,2022
Sri Lanka,LKA,2020,20.2,19.5,Asia,2022
Sri Lanka,LKA,2021,19.8,19.5,Asia,2022
Sri Lanka,LKA,2022,19.5,19.5,Asia,
Sri Lanka,LKA,2023,,19.5,Asia,2022
Sweden,SWE,2000,46.5,22.7,Europe,2022
Sweden,SWE,2005,39.4,22.7,Europe,2022
Sweden,SWE,2007,36.9,22.7,Europe,2022
Sweden,SWE,2010,33.4,22.7,Europe,2022
Sweden,SWE,2015,28.3,22.7,Europe,2022
Sweden,SWE,2020,24.1,22.7,Europe,2022
Sweden,SWE,2021,23.3,22.7,Europe,2022
Sweden,SWE,2022,22.7,22.7,Europe,
Sweden,SWE,2023,,22.7,Europe,2022
Switzerland,CHE,2000,28.3,25.5,Europe,2022
Switzerland,CHE,2005,27.6,25.5,Europe,2022
Switzerland,CHE,2007,27.3,25.5,Europe,2022
Switzerland,CHE,2010,26.9,25.5,Europe,2022
Switzerland,CHE,2015,26.4,25.5,Europe,2022
Switzerland,CHE,2020,25.8,25.5,Europe,2022
Switzerland,CHE,2021,25.7,25.5,Europe,2022
Switzerland,CHE,2022,25.5,25.5,Europe,
Switzerland,CHE,2023,,25.5,Europe,2022
Tanzania,TZA,2000,27.8,9.3,Africa,2022
Tanzania,TZA,2005,21.5,9.3,Africa,2022
Tanzania,TZA,2007,19.5,9.3,Africa,2022
Tanzania,TZA,2010,16.8,9.3,Africa,2022
Tanzania,TZA,2015,13.1,9.3,Africa,2022
Tanzania,TZA,2020,10.2,9.3,Africa,2022
Tanzania,TZA,2021,9.7,9.3,Africa,2022
Tanzania,TZA,2022,9.3,9.3,Africa,
