Entity,Code,Year,Share of expenditure spent on food,Food expenditure,World region according to OWID
Thailand,THA,2021,28.338812,1027.7134,Asia
Thailand,THA,2022,26.783998,1022.5452,Asia
Thailand,THA,2023,25.9059,1107.7378,Asia
Tunisia,TUN,2017,22.019604,579.6,Africa
Tunisia,TUN,2018,21.882679,570,Africa
Tunisia,TUN,2019,21.75387,538.6479,Africa
Tunisia,TUN,2020,21.632456,505.57117,Africa
Tunisia,TUN,2021,24.192238,647.72565,Africa
Tunisia,TUN,2022,23.067316,680.52997,Africa
Tunisia,TUN,2023,22.278597,769.5439,Africa
Turkey,TUR,2017,21.762697,1389.2,Asia
Turkey,TUR,2018,21.821396,1209.8,Asia
Turkey,TUR,2019,21.214691,841.1536,Asia
Turkey,TUR,2020,21.347061,971.52704,Asia
Turkey,TUR,2021,27.256779,1478.8129,Asia
Turkey,TUR,2022,25.405075,1592.4287,Asia
Turkey,TUR,2023,22.825748,1808.0259,Asia
Turkmenistan,TKM,2017,37.742027,265.1,Asia
Turkmenistan,TKM,2018,37.511032,297.5,Asia
Turkmenistan,TKM,2019,37.281677,300.36267,Asia
Turkmenistan,TKM,2020,37.071136,309.2268,Asia
Turkmenistan,TKM,2021,36.870106,310.05212,Asia
Turkmenistan,TKM,2022,36.677605,373.97946,Asia
Turkmenistan,TKM,2023,36.49421,398.54034,Asia
Uganda,UGA,2017,44.30352,202.6,Africa
Uganda,UGA,2018,44.223866,209.4,Africa
Uganda,UGA,2019,44.199154,216.24927,Africa
Uganda,UGA,2020,44.218678,218.87224,Africa
Uganda,UGA,2021,44.24747,293.40057,Africa
Uganda,UGA,2022,44.225307,313.2339,Africa
Uganda,UGA,2023,38.565464,265.8952,Africa
Ukraine,UKR,2017,42.113937,715.6,Europe
Ukraine,UKR,2018,42.231743,857.6,Europe
Ukraine,UKR,2019,39.68322,874.2984,Europe
Ukraine,UKR,2020,41.19931,963.7307,Europe
Ukraine,UKR,2021,41.641056,1292.1539,Europe
Ukraine,UKR,2022,42.726883,1021.3403,Europe
Ukraine,UKR,2023,41.71225,1265.9171,Europe
United Arab Emirates,ARE,2017,13.728012,1889.4,Asia
United Arab Emirates,ARE,2018,13.710803,1954.9,Asia
United Arab Emirates,ARE,2019,13.725278,2003.57,Asia
United Arab Emirates,ARE,2020,13.911645,1962.9142,Asia
United Arab Emirates,ARE,2021,13.614112,1961.736,Asia
United Arab Emirates,ARE,2022,13.526852,2459.8027,Asia
United Arab Emirates,ARE,2023,12.225459,2980.7517,Asia
United Kingdom,GBR,2017,8.150551,2038.2,Europe
United Kingdom,GBR,2018,8.099275,2168.2,Europe
United Kingdom,GBR,2019,7.943234,1831.6174,Europe
United Kingdom,GBR,2020,9.360341,1951.0782,Europe
United Kingdom,GBR,2021,8.655319,2417.7542,Europe
United Kingdom,GBR,2022,8.500579,2313.528,Europe
United Kingdom,GBR,2023,8.654823,2499.02,Europe
United States,USA,2017,6.4059668,2548.3,North America
United States,USA,2018,6.357114,2626.2,North America
United States,USA,2019,6.226851,2356.8203,North America
United States,USA,2020,7.0947022,2595.5752,North America
United States,USA,2021,6.689246,3070.234,North America
United States,USA,2022,6.7260303,3382.4458,North America
United States,USA,2023,6.794796,3694.3535,North America
Uruguay,URY,2017,18.633657,2187.2,South America
Uruguay,URY,2018,18.617237,2212.1,South America
Uruguay,URY,2019,18.514044,1526.631,South America
Uruguay,URY,2020,18.872986,1587.5781,South America
Uruguay,URY,2021,18.820482,1950.6066,South America
Uruguay,URY,2022,18.599667,2371.2742,South America
Uruguay,URY,2023,18.697643,2776.4219,South America
Uzbekistan,UZB,2017,30.27809,242.8,Asia
Uzbekistan,UZB,2018,30.16796,186.8,Asia
Uzbekistan,UZB,2019,30.053236,233.7826,Asia
Uzbekistan,UZB,2020,29.953552,264.32962,Asia
Uzbekistan,UZB,2021,46.50713,483.40182,Asia
Uzbekistan,UZB,2022,46.408474,616.72015,Asia
Uzbekistan,UZB,2023,46.33913,718.6729,Asia
Venezuela,VEN,2017,19.269547,288.6,South America
Venezuela,VEN,2018,19.099098,95.4,South America
Venezuela,VEN,2019,18.938694,1.6081887,South America
Venezuela,VEN,2020,18.77476,27.33975,South America
Venezuela,VEN,2021,18.609703,46.672245,South America
Venezuela,VEN,2022,18.446112,76.88895,South America
Venezuela,VEN,2023,51.952286,693.4925,South America
Vietnam,VNM,2017,38.73744,643.7,Asia
Vietnam,VNM,2018,38.75791,692.1,Asia
Vietnam,VNM,2019,31.09939,509.3486,Asia
Vietnam,VNM,2020,31.651073,533.45355,Asia
Vietnam,VNM,2021,31.196798,563.15234,Asia
Vietnam,VNM,2022,31.120634,654.7691,Asia
Vietnam,VNM,2023,34.85494,777.58496,Asia
