Entity,Code,Year,Antibiotic use in livestock,World region according to OWID
Sierra Leone,SLE,2020,17.483543,Africa
Singapore,SGP,2020,64.36674,Asia
Slovakia,SVK,2020,21.549042,Europe
Slovenia,SVN,2020,12.803318,Europe
Solomon Islands,SLB,2020,118.34202,Oceania
Somalia,SOM,2020,30.64287,Africa
South Africa,ZAF,2020,22.21957,Africa
South Korea,KOR,2020,121.5339,Asia
South Sudan,SSD,2020,23.853924,Africa
Spain,ESP,2020,78.777756,Europe
Sri Lanka,LKA,2020,75.823845,Asia
Sudan (former),OWID_SDN,2020,27.021984,Africa
Suriname,SUR,2020,51.811207,South America
Sweden,SWE,2020,5.4230795,Europe
Switzerland,CHE,2020,19.725359,Europe
Syria,SYR,2020,88.994446,Asia
Taiwan,TWN,2020,111.91895,Asia
Tajikistan,TJK,2020,89.30186,Asia
Tanzania,TZA,2020,21.613647,Africa
Thailand,THA,2020,337.77734,Asia
Togo,TGO,2020,17.362648,Africa
Tonga,TON,2020,147.62177,Oceania
Trinidad and Tobago,TTO,2020,40.573902,North America
Tunisia,TUN,2020,22.305,Africa
Turkey,TUR,2020,68.738304,Asia
Turkmenistan,TKM,2020,115.282005,Asia
Uganda,UGA,2020,20.967749,Africa
Ukraine,UKR,2020,57.904045,Europe
United Arab Emirates,ARE,2020,52.438774,Asia
United Kingdom,GBR,2020,15.608991,Europe
United States,USA,2020,30.603518,North America
Uruguay,URY,2020,73.39216,South America
Uzbekistan,UZB,2020,83.21526,Asia
Vanuatu,VUT,2020,99.78377,Oceania
Venezuela,VEN,2020,54.22483,South America
Vietnam,VNM,2020,124.16831,Asia
Yemen,YEM,2020,52.33308,Asia
Zambia,ZMB,2020,18.670872,Africa
Zimbabwe,ZWE,2020,21.346575,Africa
