Entity,Day,0 or 1 dose,2 doses,3 doses,4 doses
06-11,2023-03-12,0,0,0,0
06-11,2023-03-19,0,0,0,0
12-20,2021-10-10,0,0,0,
12-20,2021-10-17,0,0,0,
12-20,2021-10-24,0,0,0,
12-20,2021-10-31,0,0,0,
12-20,2021-11-07,0,0,0,
12-20,2021-11-14,0,0,0,
12-20,2021-11-21,0,0,0,
12-20,2021-11-28,0,0,0,
12-20,2021-12-05,0,0.053231385,0,
12-20,2021-12-12,0,0,0,
12-20,2021-12-19,0,0,0,
12-20,2021-12-26,0,0,0,
12-20,2022-01-02,0,0,0,
12-20,2022-01-09,0,0,0,
12-20,2022-01-16,0,0,0,
12-20,2022-01-23,0,0,0,
12-20,2022-01-30,0,0,0,0
12-20,2022-02-06,1.6119932,0,0.100102305,0
12-20,2022-02-13,0,0.08964855,0,0
12-20,2022-02-20,0,0,0.09318336,0
12-20,2022-02-27,0.9899226,0,0,0
12-20,2022-03-06,0,0,0.087706834,0
12-20,2022-03-13,1.1334141,0,0,0
12-20,2022-03-20,2.4300747,0.11324913,0,0
12-20,2022-03-27,1.2650862,0.117300265,0.07485585,0
12-20,2022-04-03,0,0.12146477,0,0
12-20,2022-04-10,0,0,0.07174949,0
12-20,2022-04-17,0,0,0,0
12-20,2022-04-24,0,0,0,0
12-20,2022-05-01,0,0,0,0
12-20,2022-05-08,0,0,0,0
12-20,2022-05-15,0,0,0,0
12-20,2022-05-22,0,0,0,0
12-20,2022-05-29,0,0,0,0
12-20,2022-06-05,0,0,0,0
12-20,2022-06-12,0,0,0,0
12-20,2022-06-19,0,0,0,0
12-20,2022-06-26,0,0,0,0
12-20,2022-07-03,0,0,0,0
12-20,2022-07-10,1.9540792,0,0.079651386,0
12-20,2022-07-17,1.99988,0,0.08225944,0
12-20,2022-07-24,0,0,0,0.15437554
12-20,2022-07-31,0,0,0,0
12-20,2022-08-07,0,0,0,0
12-20,2022-08-14,0,0,0,0
12-20,2022-08-21,0,0,0,0
12-20,2022-08-28,0,0,0,0
12-20,2022-09-04,0,0,0,0
12-20,2022-09-11,0,0.30259016,0,0
12-20,2022-09-18,2.5321584,0,0,0
12-20,2022-09-25,0,0,0,0
12-20,2022-10-02,0,0,0,0.09743968
12-20,2022-10-09,2.6508324,0,0,0
12-20,2022-10-16,0,0,0,0
12-20,2022-10-23,0,0,0,0
12-20,2022-10-30,0,0,0.231504,0
12-20,2022-11-06,0,0,0,0
12-20,2022-11-13,0,0,0,0
12-20,2022-11-20,0,0,0,0
12-20,2022-11-27,0,0,0,0
12-20,2022-12-04,0,0,0,0
12-20,2022-12-11,0,0,0,0.09294294
12-20,2022-12-18,0,0,0,0.09277582
12-20,2022-12-25,0,0,0,0
12-20,2023-01-01,0,0.3253101,0,0
12-20,2023-01-08,0,0,0,0
12-20,2023-01-15,0,0,0,0
12-20,2023-01-22,0,0,0,0
12-20,2023-01-29,0,0,0,0.0921209
12-20,2023-02-05,0,0,0,0
12-20,2023-02-12,0,0,0,0
12-20,2023-02-19,0,0,0,0
12-20,2023-02-26,0,0,0,0.09160051
12-20,2023-03-05,0,0,0,0
12-20,2023-03-12,0,0,0,0
12-20,2023-03-19,0,0,0,0
21-30,2021-10-10,0.22959793,0,0,
21-30,2021-10-17,0,0,0,
21-30,2021-10-24,0.25344816,0,0,
21-30,2021-10-31,0,0.04221871,0,
21-30,2021-11-07,0,0.043117963,0,
21-30,2021-11-14,0.57304126,0,0,
21-30,2021-11-21,0.29979163,0,0,
21-30,2021-11-28,0.6306085,0,0,
21-30,2021-12-05,0.33130574,0.05236622,0,
21-30,2021-12-12,0,0.055614445,0,
21-30,2021-12-19,0.3638679,0,0,
21-30,2021-12-26,0,0.06776257,0,
21-30,2022-01-02,0.39988643,0,0,
21-30,2022-01-09,0,0,0,
21-30,2022-01-16,0,0,0.056597322,
21-30,2022-01-23,0,0.111610256,0,
21-30,2022-01-30,0.4687002,0.12476031,0,0
21-30,2022-02-06,0,0,0.047791667,0
21-30,2022-02-13,2.0061188,0.14563015,0.047152728,0
21-30,2022-02-20,0.5197613,0.15460896,0,0
21-30,2022-02-27,1.6171199,0.48521155,0.13751987,0
21-30,2022-03-06,1.1133873,0.16710503,0.04549868,0
21-30,2022-03-13,0.57368726,0,0.09040255,0
21-30,2022-03-20,0.5893516,0.17793784,0,0
21-30,2022-03-27,0.60396683,0,0.044652943,0
21-30,2022-04-03,0,0.18833455,0,0
21-30,2022-04-10,0,0,0,0
21-30,2022-04-17,0.6422443,0,0.044389736,0
21-30,2022-04-24,0,0,0,0
21-30,2022-05-01,0,0,0.04476456,0
21-30,2022-05-08,0,0,0,0
21-30,2022-05-15,0,0.21432,0,0
21-30,2022-05-22,0,0,0.047548357,0
21-30,2022-05-29,0,0,0,0
21-30,2022-06-05,0,0.2335521,0,0
21-30,2022-06-12,0,0,0,0
21-30,2022-06-19,0,0,0,0.10122964
21-30,2022-06-26,0,0,0,0
21-30,2022-07-03,0,0,0.07789193,0
21-30,2022-07-10,0.75237185,0,0.08325709,0.07364286
21-30,2022-07-17,0,0,0.08896069,0.06928096
21-30,2022-07-24,0,0.28725725,0.09653227,0
21-30,2022-07-31,0,0,0.103397965,0
21-30,2022-08-07,0,0,0.11052679,0
21-30,2022-08-14,0,0.30773208,0.11679569,0
21-30,2022-08-21,0,0,0,0
21-30,2022-08-28,0,0,0,0
21-30,2022-09-04,0,0,0,0
21-30,2022-09-11,0.8342371,0,0.1357143,0
21-30,2022-09-18,0,0,0,0
21-30,2022-09-25,0,0,0,0
21-30,2022-10-02,0,0,0,0
21-30,2022-10-09,0,0,0,0.050598323
21-30,2022-10-16,0,0,0,0
21-30,2022-10-23,0,0.34399608,0,0
21-30,2022-10-30,0,0,0,0
21-30,2022-11-06,0,0,0,0
21-30,2022-11-13,0.87020844,0,0.15068524,0
21-30,2022-11-20,0,0,0.15080114,0
21-30,2022-11-27,0,0,0.15094613,0
21-30,2022-12-04,0,0.69116384,0,0
21-30,2022-12-11,0,0,0,0
21-30,2022-12-18,0,0,0,0
21-30,2022-12-25,0,0,0,0.050199315
21-30,2023-01-01,0.87450045,0,0.151531,0
21-30,2023-01-08,0.8749442,0.34632155,0,0
21-30,2023-01-15,0,0.34641272,0,0.050162073
21-30,2023-01-22,0,0,0,0.050156537
21-30,2023-01-29,0,0.69330096,0,0
21-30,2023-02-05,0,0,0,0
21-30,2023-02-12,0,0,0.15197545,0
21-30,2023-02-19,0,0,0,0
21-30,2023-02-26,0,0,0,0
21-30,2023-03-05,0,0.3470993,0,0.05008349
21-30,2023-03-12,0,0,0,0
21-30,2023-03-19,0,0,0,0
31-40,2021-10-10,0.19900775,0.04097395,0,
31-40,2021-10-17,0,0.0420755,0,
31-40,2021-10-24,0,0.043544978,0,
31-40,2021-10-31,0.21504682,0.044761814,0,
31-40,2021-11-07,0.4404103,0.048259705,0,
31-40,2021-11-14,0.2271251,0.1620013,0,
31-40,2021-11-21,0,0,0,
31-40,2021-11-28,0.4807646,0.12735966,0,
31-40,2021-12-05,0.2471125,0,0,
31-40,2021-12-12,0.50728333,0.075809725,0,
31-40,2021-12-19,0,0.08394797,0,
31-40,2021-12-26,0.2663506,0,0.060739726,
31-40,2022-01-02,0,0.099303484,0,
31-40,2022-01-09,0.55490357,0,0,
31-40,2022-01-16,0.5653167,0,0,
31-40,2022-01-23,0.8658933,0,0,
31-40,2022-01-30,0.58808136,0.33358186,0,0
31-40,2022-02-06,0.2984825,0.18270046,0.04510435,0
31-40,2022-02-13,0.30243278,0.19581811,0.22428253,0
31-40,2022-02-20,0.9206012,0.2078812,0.08891015,0
31-40,2022-02-27,0.62286085,0.86967486,0.044115033,0
31-40,2022-03-06,0.9466171,0,0.043948647,0
31-40,2022-03-13,0,0.69517016,0.08757288,0
31-40,2022-03-20,0.64514256,0.47767696,0.17453355,0
31-40,2022-03-27,0.9761939,0.9794871,0.043553665,0.88446265
31-40,2022-04-03,0,0,0.04365028,0
31-40,2022-04-10,0.33036882,0,0.087898605,0
31-40,2022-04-17,0,0.26251474,0.044051155,0
31-40,2022-04-24,0,0,0.044445194,0
31-40,2022-05-01,0.33597183,0,0,0
31-40,2022-05-08,0,0,0,0
31-40,2022-05-15,0.33900717,0,0,0
31-40,2022-05-22,0,0,0,0
31-40,2022-05-29,1.0253431,0,0.05569293,0.14259334
31-40,2022-06-05,0,0,0.06141642,0
31-40,2022-06-12,0,0,0,0.09398223
31-40,2022-06-19,0.34611896,0,0.07864881,0
31-40,2022-06-26,0,0.69229305,0,0.07132541
31-40,2022-07-03,0.6982362,0.71066386,0.18978825,0
31-40,2022-07-10,0.35035843,0.36211678,0,0
31-40,2022-07-17,0,0,0.21702896,0.060692832
31-40,2022-07-24,0.7063593,0,0.11817565,0.115589365
31-40,2022-07-31,0,0.38485518,0,0
31-40,2022-08-07,0.3556314,0,0,0.053958066
31-40,2022-08-14,0,0,0,0
31-40,2022-08-21,0.7161554,0,0,0.05176849
31-40,2022-08-28,0,0,0,0
31-40,2022-09-04,0,0,0.32071945,0.050383292
31-40,2022-09-11,0,0,0.16592112,0.049759958
31-40,2022-09-18,0,0.42939648,0,0.04922648
31-40,2022-09-25,0.36339983,0,0,0
31-40,2022-10-02,1.0919772,0,0,0
31-40,2022-10-09,0,0.43923223,0,0
31-40,2022-10-16,0.36500347,0,0,0
31-40,2022-10-23,0.36531147,0.44061404,0,0
31-40,2022-10-30,0,0,0,0
31-40,2022-11-06,0,0,0,0.048069943
31-40,2022-11-13,0,0,0,0.048041884
31-40,2022-11-20,0.36591032,0.44197917,0,0
31-40,2022-11-27,0.73202693,0,0,0
31-40,2022-12-04,0.36611396,0,0,0
31-40,2022-12-11,0,0,0.3697001,0.04796391
31-40,2022-12-18,0,0,0.1850214,0.09589521
31-40,2022-12-25,0.36631647,0,0.18515742,0
31-40,2023-01-01,0,0,0,0
31-40,2023-01-08,0.7328692,0,0,0.09582532
31-40,2023-01-15,0.3664816,0.8876462,0,0.047903825
31-40,2023-01-22,0,0.443896,0,0
31-40,2023-01-29,0.36657295,0,0,0.09577448
31-40,2023-02-05,0.3666388,0.44423318,0,0.047876302
31-40,2023-02-12,0,0,0,0
31-40,2023-02-19,0.36678,0,0.18601502,0.04785788
31-40,2023-02-26,0,0,0,0
31-40,2023-03-05,0,0,0,0.09568435
31-40,2023-03-12,0.3669442,0,0.18626657,0.04783531
31-40,2023-03-19,0,0,0,0
41-50,2021-10-10,1.1234378,0.046804298,0,
41-50,2021-10-17,0.5744403,0,0,
41-50,2021-10-24,0.29232246,0.051578507,0,
41-50,2021-10-31,0,0,0.20459437,
41-50,2021-11-07,0.60312176,0.06194674,0,
41-50,2021-11-14,0,0.07202852,0,
41-50,2021-11-21,1.8899542,0.16605048,0,
41-50,2021-11-28,1.6072158,0.096236944,0,
41-50,2021-12-05,1.968039,0.3313178,0.06916677,
41-50,2021-12-12,1.0035727,0,0,
41-50,2021-12-19,0.68169343,0.5624416,0,
41-50,2021-12-26,0.69355345,0.4676197,0,
41-50,2022-01-02,0.35345307,0.17345904,0,
41-50,2022-01-09,0.7151669,0.9237585,0,
41-50,2022-01-16,2.1748192,0.22039491,0,
41-50,2022-01-23,1.4715837,0,0.099942386,
41-50,2022-01-30,2.6093214,0.5876321,0,0
