Player,Club,Club Country,Country,Federation,Country,Number of Players:,
Victor Nelsson,Galatasaray AŞ,TUR 🇹🇷,Turkey,UEFA,Denmark,1,
Enner Valencia,Fenerbahçe SK,TUR 🇹🇷,Turkey,UEFA,Ecuador,1,
Ali Karimi,Kayserispor,TUR 🇹🇷,Turkey,UEFA,Iran,1,
Majid Hosseini,Kayserispor,TUR 🇹🇷,Turkey,UEFA,Iran,1,
Romain Saïss,Beşiktaş JK,TUR 🇹🇷,Turkey,UEFA,Morocco,1,
Wout Weghorst,Beşiktaş JK,TUR 🇹🇷,Turkey,UEFA,Netherlands,1,
Famara Diédhiou,Alanyaspor,TUR 🇹🇷,Turkey,UEFA,Senegal,1,
Haris Seferovic,Galatasaray AŞ,TUR 🇹🇷,Turkey,UEFA,Switzerland,1,
Maxi Gómez,Trabzonspor AŞ,TUR 🇹🇷,Turkey,UEFA,Uruguay,1,
Fernando Muslera,Galatasaray AŞ,TUR 🇹🇷,Turkey,UEFA,Uruguay,1,
Lucas Torreira,Galatasaray AŞ,TUR 🇹🇷,Turkey,UEFA,Uruguay,1,
Haji Wright,Antalyaspor,TUR 🇹🇷,Turkey,UEFA,USA,1,
Ahmad Nourollahi,Shabab Al Ahli Dubai,UAE 🇦🇪,United Arab Emirates,AFC,Iran,1,
Luis Suárez,Nacional Montevideo,URU 🇺🇾,Uruguay,CONMEBOL,Uruguay,1,
Sergio Rochet,Nacional Montevideo,URU 🇺🇾,Uruguay,CONMEBOL,Uruguay,1,
José Luis Rodríguez,Nacional Montevideo,URU 🇺🇾,Uruguay,CONMEBOL,Uruguay,1,
Thiago Almada,Atlanta United,USA 🇺🇸,United States,CONCACAF,Argentina,1,
Miloš Degenek,Columbus Crew SC,USA 🇺🇸,United States,CONCACAF,Australia,1,
Nouhou Tolo,Seattle Sounders,USA 🇺🇸,United States,CONCACAF,Cameroon,1,
Olivier Mbaizo,Philadelphia Union,USA 🇺🇸,United States,CONCACAF,Cameroon,1,
Dayne St. Clair,Minnesota United,USA 🇺🇸,United States,CONCACAF,Canada,1,
Daniel Chacón,Colorado Rapids,USA 🇺🇸,United States,CONCACAF,Costa Rica,1,
Bryan Oviedo,Real Salt Lake,USA 🇺🇸,United States,CONCACAF,Costa Rica,1,
Rónald Matarrita,FC Cincinnati,USA 🇺🇸,United States,CONCACAF,Costa Rica,1,
Xavier Arreaga,Seattle Sounders,USA 🇺🇸,United States,CONCACAF,Ecuador,1,
Sebas Méndez,Los Angeles,USA 🇺🇸,United States,CONCACAF,Ecuador,1,
José Cifuentes,Los Angeles,USA 🇺🇸,United States,CONCACAF,Ecuador,1,
Diego Palacios,Los Angeles,USA 🇺🇸,United States,CONCACAF,Ecuador,1,
Héctor Herrera,Houston Dynamo,USA 🇺🇸,United States,CONCACAF,Mexico,1,
Karol Świderski,Charlotte,USA 🇺🇸,United States,CONCACAF,Poland,1,
Xherdan Shaqiri,Chicago Fire,USA 🇺🇸,United States,CONCACAF,Switzerland,1,
Facundo Torres,Orlando City SC,USA 🇺🇸,United States,CONCACAF,Uruguay,1,
Martín Cáceres,Los Angeles Galaxy,USA 🇺🇸,United States,CONCACAF,Uruguay,1,
Jordan Morris,Seattle Sounders,USA 🇺🇸,United States,CONCACAF,USA,1,
Cristian Roldan,Seattle Sounders,USA 🇺🇸,United States,CONCACAF,USA,1,
Sean Johnson,New York City,USA 🇺🇸,United States,CONCACAF,USA,1,
Aaron Long,New York Red Bulls,USA 🇺🇸,United States,CONCACAF,USA,1,
Kellyn Acosta,Los Angeles,USA 🇺🇸,United States,CONCACAF,USA,1,
Jesús Ferreira,FC Dallas,USA 🇺🇸,United States,CONCACAF,USA,1,
Walker Zimmerman,Nashville SC,USA 🇺🇸,United States,CONCACAF,USA,1,
Shaq Moore,Nashville SC,USA 🇺🇸,United States,CONCACAF,USA,1,
DeAndre Yedlin,Inter Miami CF,USA 🇺🇸,United States,CONCACAF,USA,1,
Gareth Bale,Los Angeles,USA 🇺🇸,United States,CONCACAF,Wales,1,
Olivier Ntcham,Swansea City,WAL 🇬🇧,Wales,UEFA,Cameroon,1,
Joe Allen,Swansea City,WAL 🇬🇧,Wales,UEFA,Wales,1,
Ben Cabango,Swansea City,WAL 🇬🇧,Wales,UEFA,Wales,1,
Rubin Colwill,Cardiff City,WAL 🇬🇧,Wales,UEFA,Wales,1,
Mark Harris,Cardiff City,WAL 🇬🇧,Wales,UEFA,Wales,1,
